Name	Previous_position	Current_position	image_name
Samuel Taylor, PhD	Research Fellow	Assistant Professor\nPediatrics, Hematology & Oncology\Washington University in St. Louis	samuel_taylor.jpg
Michael Roth, MD	Research Fellow	Professor\nPediatrics\nThe University of Texas MD Anderson Cancer Center	michael_roth.jpg
Britta Will, PhD	Research Fellow and Instructor	Associate Professor\nOncology, Medicine, and Cell Biology\nAlbert Einstein College of Medicine\n\nDirector, Ruth L. and David S. Gottesman Institute for Stem Cell Research and Regenerative Medicine	britta_will.jpg
Xin Gao, PhD	Research Fellow	Assistant Professor\nPathology and Laboratory Medicine\nUniversity of Wisconsin-Madison	xin_gao.jpg
Koki Ueda, MD/PhD	Research Fellow	Associate Professor\nTransfusion Medicine\nFukushima Medical University	koki_ueda.jpg
Iléana Antony-Debré, PharmD/PhD	Research Fellow	Principal Investigator\nGoustave Roussy Institute	ileana_antony-debre.jpg
Hiroki Goto, MD/PhD	Research Fellow	Associate Professor\nInstitute of Resource Development and Analysis\nKumamoto University	hiroki_goto.jpg
Jiahao Chen, PhD	PhD Student	Associate Professor\nShanghai Jiao Tong University School of Medicine	jiahao_chen.jpg
Goichi Tatsumi, PhD	Instructor	Associate Professor\nHematology/Oncology\nKyoto University	goichi_tatsumi.jpg
Maximilian Christopeit, MD	Research Fellow	Assistant Professor\nHaematology\nUniversity of Tuebingen Medical Center	maximilian_christopeit.jpg
Lisa M. Figueiredo-Gennarini, MD	Research Fellow	Associate Professor\nPediatrics\nAlbert Einstein College of Medicine	lisa_figueiredo-gennarini.jpg
Luis Carvajal, PhD	Research Fellow	Associate Director\nTranslational Development\nKronos Bio, Inc	luis_carvajal.jpg
Masahiro Kawahara, MD/PhD	Research Fellow	Associate Professor\nMedicine\nUniversity of Medical Science\nShiga, Japan	masahiro_kawahara.jpg
Yun-Rei Kao, PhD	PhD Student	Assistant Professor\nAlbert Einstein College of Medicine	yun-rei_kao.jpg
Kelly Mitchell, PhD	PhD Student	Research Fellow\nFred Hutchinson Cancer Center	kelly_mitchell.jpg
Robert F. Stanley, MD/PhD	MD/PhD Student 	Hematology Fellow\nMemorial Sloan Kettering Cancer Center	robert_stanley.jpg
Richard T. Piszczatowski, MD/PhD	MD/PhD Student 	Pediatrics Fellow\nWeill Cornell Medicine	richard_piszczatowski.jpg
Justin C. Wheat, MD/PhD	MD/PhD Student 	Medicine Resident\nBrigham and Women’s Hospital / Harvard Medical School	justin_wheat.jpg
Ashley Eckel, MD/PhD	MD/PhD Student 	Assistant Professor\nLaboratory Medicine & Pathology\nAssociate Director, Hematopathology\nUniversity of Washington	ashley_eckel.jpg
Laura Barreyro, PhD	PhD Student	Principal Scientist\nOncology Translational Research\nJanssen Pharmaceutical Companies of Johnson & Johnson	laura_barreyro.jpg
Ujunwa Cynthia Okoye-Okafor, MD/PhD	PhD Student	Research Scientist\nSonder Research X	ujunwa_cynthia_okoye-okafor.jpg
Oliver Bohoqueroz	Research Technician	Research Technician\nHarvard Medical School\nDana Farmer Cancer Institute	oliver_bohoqueroz.jpg
Jillian (Mayer) Cotter, MD	Research Technician	Pediatrician\nUniversity of Colorado	jillian_cotter.jpg
Thomas O. Vogler, MD/PhD	Research Technician	Surgery Resident\nUniversity of Colorado	thomas_vogler.jpg
Emily Schwenger, PhD	MD/PhD Student 	Psychiatry Resident\nColumbia University	emily_schwenger.jpg
Jacob Stauber, PhD	MD/PhD Student 		jacob_stauber.jpg
