Title	Authors	Journal	Date	Pubmed_url	File
Rapid Transcription Dynamics Confers Cytarabine Resistance in Acute Myeloid Leukemia	Goichi Tatsumi, Rajni Kumari, Yutaro Suzuki, Shuting Li, Russell Scharf, Samuel J. Taylor, Sriram Sundaravel, Amit Verma, Justin C. Wheat, Ulrich Steidl	Blood Cancer Discovery	2026 Jun 11	https://aacrjournals.org/bloodcancerdiscov/article/doi/10.1158/2643-3230.BCD-25-0317/785785/Rapid-Transcription-Dynamics-Confers-Cytarabine	BCD_2026_jun_11.pdf
Haematopoietic stem cell number is not solely defined by niche availability.	Takeishi S*, Marchand T, Koba WR, Borger DK, Xu C, Guha C, Bergman A, Frenette PS#, Gritsman K#, Steidl U#,*	Nature	2025 Aug 27	https://www.nature.com/articles/s41586-025-09462-5	nature_2025_aug_27.pdf
Pharmacological restriction of genomic binding sites redirects PU.1 pioneer transcription factor activity	Taylor SJ, Stauber J, Bohorquez O, Tatsumi G, Kumari R, Chakraborty J, Bartholdy BA, Schwenger E, Sundaravel S, Farahat AA, Wheat JC, Goldfinger M, Verma A, Kumar A, Boykin DW, Stengel KR, Poon GMK, Steidl U	Nature Genetics	2024 Sept 18	https://pubmed.ncbi.nlm.nih.gov/39294495/	nature_genetics_2024_sept_18.pdf
Regulation of the hematopoietic stem cell pool by C-Kit-associated trogocytosis	Gao X*, Carpenter RS*, Boulais PE*, Zhang D, Marlein CR, Li H, Smith M, Chung DJ, Maryanovich M, Will B, Steidl U	Science	2024 Aug 9	https://pubmed.ncbi.nlm.nih.gov/39116219/	science_2024_aug_9.pdf
DNA selection by the master transcription factor PU.1	Terrell JR, Taylor SJ, Schneider AL, Lu Y, Vernon TN, Xhani S, Gumpper RH, Luo M, Wilson WD, Steidl U#, Poon GMK#	Cell Reports	2023 Jun 22	https://pubmed.ncbi.nlm.nih.gov/37352101/	cell_reports_2023_jun_22.pdf
A glycan-based approach to cell characterization and isolation: Hematopoiesis as a paradigm	Piszczatowski RT*, Schwenger E*, Sundaravel S, Stein CM, Liu Y, Stanley P, Verma A, Zheng D, Seidel RD, Almo SC, Townley RA#, Bülow HE#, Steidl U#	Journal of Experimental Medicine	2022 Sep 6	https://pubmed.ncbi.nlm.nih.gov/36066492/	journal_of_experimental_medicine_2022_sep_6.pdf
MDMX acts as a pervasive preleukemic-to-acute myeloid leukemia transition mechanism	Ueda K, Kumari R, Schwenger E, Wheat JC, Bohorquez O, Narayanagari SR, Taylor SJ, Carvajal LA, Pradhan K, Bartholdy B, Todorova TI, Goto H, Sun D, Chen J, Shan J, Song Y, Montagna C, Xiong S, Lozano G, Pellagatti A, Boultwood J, Verma A, Steidl U	Cancer Cell	2021 Mar 4	https://pubmed.ncbi.nlm.nih.gov/33667384/	cancer_cell_2021_mar_4.pdf
Single Molecule Imaging of Transcription Dynamics in Somatic Stem Cells	Wheat JC, Sella Y, Willcockson M, Skoultchi AI, Bergman A, Singer RH, Steidl U	Nature	2020 Jun 24	https://pubmed.ncbi.nlm.nih.gov/32581360/	nature_2020_jun_24.pdf
Myelodysplastic Syndrome Progression to Acute Myeloid Leukemia at the Stem Cell Level	Chen J, Kao YR, Sun D, Todorova TI, Reynolds D, Narayanagari SR, Montagna C, Will B, Verma A*, Steidl U*	Nature Medicine	2019 Jan	https://pubmed.ncbi.nlm.nih.gov/30568307/	nature_medicine_2019_jan.pdf
IL1RAP Potentiates Multiple Oncogenic Signaling Pathways in AML	Mitchell K, Barreyro L, Todorova TI, Taylor SJ, Antony Debré I, Narayanagari SR, Carvajal LA, Leite J, Piperdi Z, Pendurti G, Mantzaris I, Paietta E, Verma A, Gritsman K, Steidl U	Journal of Experimental Medicine	2018 May 17	https://pubmed.ncbi.nlm.nih.gov/29773641/	journal_of_experimental_medicine_2018_may_17.pdf
Dual inhibition of MDMX and MDM2 as a Therapeutic Strategy in Leukemia	Carvajal LA, Ben-Neriah D, Senecal A, Benard L, Thiruthuvanathan V, Yatsenko T, Narayanagari SR, Wheat JC, Todorova TI, Mitchell KM, Kenworthy C, Guerlavais V, Annis DA, Bartholdy B, Will B, Anampa JD, Mantzaris I, Aivado M, Singer RH, Coleman RA, Verma A, Steidl U	Science Translational Medicine	2018 Apr 11	https://pubmed.ncbi.nlm.nih.gov/29643228/	science_translational_medicine_2018_apr_11.pdf
Thrombopoietin receptor-independent stimulation of hematopoietic stem cells by eltrombopag	Kao YR, Chen J, Narayanagari SR, Todorova TI, Aivalioti M, Ferreira M, Ramos-Marques P, Pallaud C, Mantzaris I, Shastri A, Bussel JB, Verma A, Steidl U*, Will B*	Science Translational Medicine	2018 Sep 12	https://pubmed.ncbi.nlm.nih.gov/30209246/	science_translational_medicine_2018_sep_12.pdf
Pharmacological Inhibition of the Transcription Factor PU.1 in Leukemia	Antony-Debré I, Paul A, Leite J, Mitchell K, Kim HM, Carvajal LA, Tidorova TI, Huang K, Kumar A, Farahat AA, Bartholdy B, Narayanagari SR, Chen J, Ambesi-Impiombato A, Ferrando AA, Mantzaris I, Gavathiotis E, Verma A, Will B, Boykin DW, Wilson WD, Poon GMK, Steidl U	Journal of Clinical Investigation	2017 Oct 30	https://pubmed.ncbi.nlm.nih.gov/29083320/	journal_of_clinical_investigation_2017_oct_30.pdf
A Myeloid Tumor Suppressor Role for NOL3	Stanley RF*, Piszczatowski RT*, Bartholdy B, Mitchell K, McKimpson WM, Narayanagari SR, Walter D, Todorova TI, Hirsch C, Makishima H, Will B, McMahon C, Gritsman K, Maciejewski JP, Kitsis RN, Steidl U	Journal of Experimental Medicine	2017 Feb 23	https://pubmed.ncbi.nlm.nih.gov/28232469/	journal_of_experimental_medicine_2017_feb_23.pdf
New IDH1 Mutant Inhibitors for Treatment of Acute Myeloid Leukemia	Okoye-Okafor UC, Bartholdy B, Cartier J, Gao EN, Pietrak B, Rendina AR, Rominger C, Quinn C, Smallwood A, Wiggall KJ, Reif AJ, Schmidt SJ, Qi H, Zhao H, Joberty G, Faelth-Savitski M, Bantscheff M, Drewes G, Duraiswami C, Brady P, Groy A, Narayanagari SR, Antony-Debre I, Mitchell K, Wang HR, Kao YR, Christopeit M, Carvajal L, Barreyro L, Paietta E, Makishima H, Will B, Concha N, Adams ND, Schwartz B, McCabe MT, Maciejewski J, Verma A, Steidl U	Nature Chemical Biology	2015 Oct 5	https://pubmed.ncbi.nlm.nih.gov/26436839/	nature_chemical_biology_2015_oct_5.pdf
Minimal PU.1 Reduction Induces a Preleukemic State and Promotes Development of Acute Myeloid Leukemia	Will B*, Vogler TO*, Narayanagari S, Bartholdy B, Todorova TI, da Silva Ferreira M, Chen J, Yu Y, Mayer J, Barreyro L, Carvajal L, Ben Neriah D, Roth M, van Oers J, Schaetzlein S, McMahon C, Edelmann W, Verma A, Steidl U	Nature Medicine	2015 Sep 7	https://pubmed.ncbi.nlm.nih.gov/26343801/	nature_medicine_2015_sep_7.pdf
PAK1 is a Therapeutic Target in Acute Myeloid Leukemia and Myelodysplastic Syndrome	Pandolfi A*, Stanley RF*, Yu Y, Bartholdy B, Pendurti G, Gritsman K, Boultwood J, Chernoff J, Verma A, Steidl U	Blood	2015 Jul 13	https://pubmed.ncbi.nlm.nih.gov/26170031/	blood_2015_jul_13.pdf
HSC commitment-associated epigenetic signature is prognostic in acute myeloid leukemia	Bartholdy B*, Christopeit M*, Will B, Mo Y, Barreyro L, Yu Y, Bhagat TD, Okoye-Okafor UC, Todorova TI, Greally JM, Levine RL, Melnick A, Verma A#, Steidl U#	Journal of Clinical Investigation	2014 Mar	https://pubmed.ncbi.nlm.nih.gov/24487588/	journal_of_clinical_investigation_2014_mar.pdf
Satb1 regulates the self-renewal of hematopoietic stem cells by promoting quiescence and repressing differentiation commitment	Will B, Vogler TO, Bartholdy B, Garrett-Bakelman F, Mayer J, Barreyro L, Pandolfi A, Todorova TI, Okoye-Okafor UC, Stanley RF, Bhagat TD, Verma A, Figueroa ME, Melnick A, Roth M, Steidl U	Nature Immunology	2013 Apr 7	https://pubmed.ncbi.nlm.nih.gov/23563689/	nature_immunology_2013_apr_7.pdf
H2.0-like Homeobox (HLX) Regulates Early Hematopoiesis and Promotes Acute Myeloid Leukemia	Kawahara M*, Pandolfi A*, Bartholdy B*, Barreyro L, Will B, Roth M, Okoye-Okafor UC, Todorova TI, Figueroa ME, Melnick A, Mitsiades CS, Steidl U	Cancer Cell	2012 Aug 14	https://pubmed.ncbi.nlm.nih.gov/22897850/	cancer_cell_2012_aug_14.pdf
Stem and progenitor cells in myelodysplastic syndromes show aberrant stage specific expansion and harbor genetic and epigenetic alterations	Will B, Zhou L, Vogler TO, Ben-Neriah S, Schinke C, Tamari R, Yu Y, Bhagat T, Bhattacharya S, Barreyro L, Heuck C, Mo Y, Parekh S, McMahon C, Pellagatti A, Boultwood J, Montagna C, Silverman L, Maciejewski J, Greally J, Ye BH, List A, Steidl C, Steidl U*, Verma A*	Blood	2012 Jul 2	https://pubmed.ncbi.nlm.nih.gov/22753872/	blood_2012_jul_2.pdf
Overexpression of interleukin 1 receptor accessory protein in stem and progenitor cells and outcome correlation in AML and MDS	Barreyro L, Will B, Bartholdy B, Zhou L, Todorova TI, Stanley RF, Ben-Neriah S, Montagna C, Parekh S, Pellagatti A, Boultwood J, Paietta E, Ketterling RP, Cripe L, Fernandez HF, Greenberg PL, Tallman MS, Steidl C, Mitsiades CS, Verma A, Steidl U	Blood	2012 Jun 21	https://pubmed.ncbi.nlm.nih.gov/22723552/	blood_2012_jun_21.pdf
Eltrombopag inhibits the proliferation of leukemia cells via reduction of intracellular iron and induction of differentiation	Roth M, Will B, Simkin G, Rao S, Barreyro L, Bartholdy B, Tamari R, Mitsiades CS, Verma A, Steidl U	Blood	2012 May 24	https://pubmed.ncbi.nlm.nih.gov/22627766/	blood_2012_may_24.pdf
Effect of the nonpeptide thrombopoetin receptor agnoist Eltrombopag on bone marrow cells from patients with acute myeloid leukemia and myelodysplastic syndrome	Will B, Kawahara M, Luciano JP, Bruns I, Parekh S, Erickson-Miller CL, Aivado MA, Verma A, Steidl U	Blood	2009 Aug 26	https://pubmed.ncbi.nlm.nih.gov/19710504/	blood_2009_aug_26.pdf
