Name	Title	Description	image_name
Ulrich Steidl	Principal Investigator	"Dr. Steidl is a professor at Einstein and co-director of the Montefiore-Einstein Cancer Center. His lab focuses on stem cell dysregulation in myeloid malignancies."  Test test 	ulrich_steidl.jpg
Amber Buhagiar	PhD Student	TBD	amber_buhagiar.jpg
John Hobbs	PhD Student	TBD	john_hobbs.jpg
Lou Lou Dimple Maria Reenath Victor Jagaraja	Research Technician	TBD	loulou.jpg
Catherine Jankovic	Research Technician	TBD	catherine_jankovic.jpg
Rajni Kumari	Staff Scientist	TBD	rajni_kumari.jpg
Sriram Sundaravel	Staff Scientist	TBD	sriram_sundaravel.jpg
Shuting Li	Staff Scientist	TBD	shuting_li.jpg
Samuel Taylor	Instructor	TBD	samuel_taylor.jpg
Shoichiro Takeishi	Staff Scientist	TBD	shoichiro_takeishi.jpg
Tisha Todorova	PhD Student	TBD	tisha_todorova.jpg
Brad Tricomi	PhD Student	TBD	brad_tricomi.jpg
Anastasiya Slaughter	Research Fellow	TBD	anastasiya_slaughter.jpg
Yutaro Suzuki	Staff Scientist	TBD	yutaro_suzuki.jpg
Sophia Liu	PhD Student	TBD	sophia_liu.jpg
Gabrielle Chernomorsky	PhD Student	TBD	gabrielle_chernomorsky.jpg
Russell Scharf	MD/PhD Student	TBD	russell_scharf.jpg
